Rank,MovieName,Worldwide_lifetime_gross,Domestic_lifetime_gross,Foreign_lifetime_gross,DomesticPercentage,ForeignPercentage,Year_of_release
1,Avatar,2923706026,785221649,2138484377,26.9,73.1,2009
2,Avengers: Endgame,2799439100,858373000,1941066100,30.7,69.3,2019
3,Avatar: The Way of Water,2320250281,684075767,1636174514,29.5,70.5,2022
4,Titanic,2264750694,674292608,1590458086,29.8,70.2,1997
5,Star Wars: Episode VII - The Force Awakens,2071310218,936662225,1134647993,45.2,54.8,2015
6,Avengers: Infinity War,2052415039,678815482,1373599557,33.1,66.9,2018
7,Spider-Man: No Way Home,1921847111,814115070,1107732041,42.4,57.6,2021
8,Jurassic World,1671537444,653406625,1018130819,39.1,60.9,2015
9,The Lion King,1663079059,543638043,1119441016,32.7,67.3,2019
10,The Avengers,1520538536,623357910,897180626,41,59,2012
11,Furious 7,1515342457,353007020,1162335437,23.3,76.7,2015
12,Top Gun: Maverick,1495696292,718732821,776963471,48,52,2022
13,Frozen II,1453683476,477373578,976309898,32.8,67.2,2019
14,Barbie,1445638421,636238421,809400000,44,56,2023
15,Avengers: Age of Ultron,1405018048,459005868,946012180,32.7,67.3,2015
16,Frozen,1397045694,400953009,996092685,28.7,71.3,2013
17,The Super Mario Bros. Movie,1361975030,574934330,787040700,42.2,57.8,2023
18,Harry Potter and the Deathly Hallows: Part 2,1356962211,381447587,975514624,28.1,71.9,2011
19,Black Panther,1349926083,700426566,649499517,51.9,48.1,2018
20,Star Wars: Episode VIII - The Last Jedi,1334407706,620181382,714226324,46.5,53.5,2017
21,Jurassic World: Fallen Kingdom,1310469037,417719760,892749277,31.9,68.1,2018
22,Beauty and the Beast,1266115964,504481165,761634799,39.8,60.2,2017
23,Incredibles 2,1243225667,608581744,634643923,49,51,2018
24,The Fate of the Furious,1236009236,226008385,1010000851,18.3,81.7,2017
25,Iron Man 3,1215577205,409013994,806563211,33.6,66.4,2013
26,Minions,1159457503,336045770,823411733,29,71,2015
27,The Lord of the Rings: The Return of the King,1156598523,379427292,777171231,32.8,67.2,2003
28,Captain America: Civil War,1155046416,408084349,746962067,35.3,64.7,2016
29,Aquaman,1152028393,335104314,816924079,29.1,70.9,2018
30,Skyfall,1142504419,304360277,838144142,26.6,73.4,2012
31,Spider-Man: Far from Home,1131927996,390532085,741395911,34.5,65.5,2019
32,Captain Marvel,1131416446,426829839,704586607,37.7,62.3,2019
33,Transformers: Dark of the Moon,1123794079,352390543,771403536,31.4,68.6,2011
34,Jurassic Park,1114456337,407185075,707271262,36.5,63.5,1993
35,Transformers: Age of Extinction,1104054072,245439076,858614996,22.2,77.8,2014
36,The Dark Knight Rises,1085289416,448149584,637139832,41.3,58.7,2012
37,Joker,1078958629,335477657,743480972,31.1,68.9,2019
